GameId,TotalElapsedTime,GD,MD,win_before,loss_before,tie-win_before,tie-loss_before,win_after,loss_after,tie-win_after,tie-loss_after,reward
2012020048,3595,-1,0,0,162,3,0,0,0,161,161,1.4636363636363636
2012020048,3781,0,1,0,0,12,7,0,0,0,0,0.5
2012020049,1162,0,1,28,18,8,3,162,50,39,33,0.21590066716085987
2012020049,1631,1,-2,0,2,0,0,17,16,1,10,1.0454545454545454
2012020049,2701,0,-1,7,6,6,8,148,23,39,35,0.4101284958427817
2012020049,2848,-1,0,148,18,33,35,134,2,2,4,0.24708077524978916
2012020049,2955,-2,0,2,132,1,3,16,168,35,33,0.4704968944099379
2012020049,3186,-1,0,7,177,28,22,22,22,99,99,1.0159285159285159
2012020049,3487,0,0,14,14,143,143,214,1,11,15,0.4740465681740096
2012020049,3597,1,1,18,0,0,0,142,0,0,0,0
2012020050,292,0,0,362,362,110,110,112,41,23,25,0.3511362678134751
2012020050,673,1,0,55,157,27,14,223,223,91,91,0.44134714634576167
2012020050,1790,0,0,120,120,54,54,152,46,45,34,0.38995393999751027
2012020050,2022,-1,0,38,138,27,44,98,98,62,62,0.4892965587044535
2012020050,2827,0,0,85,85,69,69,157,20,35,37,0.46673707818286136
2012020050,3213,1,0,174,7,19,23,135,1,3,1,0.14449071108263956
2012020051,2516,0,1,7,12,4,11,149,42,40,41,0.5698529411764705
2012020051,2611,1,-1,3,10,8,6,96,96,67,67,0.16848443535560106
2012020051,3310,0,0,36,36,109,109,190,2,24,21,0.5186526989669722
2012020051,3574,-1,-1,19,0,0,0,131,0,0,0,0
2012020052,835,0,0,210,210,76,76,156,57,31,33,0.33644694655524987
2012020052,2340,1,2,0,1,1,0,15,1,1,1,0.8333333333333333
2012020052,3165,2,-2,0,1,0,1,0,0,0,1,0.5
2012020052,3424,1,0,3,195,19,18,23,23,135,135,1.163385402639375
2012020052,3879,0,0,0,0,114,114,0,0,0,0,0.5
2012020053,69,0,1,23,16,5,5,34,9,4,4,0.3237294917967188
2012020053,1451,1,0,43,158,38,45,155,155,66,66,0.42044802753170607
2012020053,2070,0,-1,15,22,7,9,150,37,43,31,0.5977011494252874
2012020053,2085,-1,0,134,18,39,14,116,8,9,4,0.09791703756453626
2012020053,2100,-2,0,9,117,4,9,43,147,29,38,0.4563726450746018
2012020053,2250,-1,0,133,41,35,29,125,11,12,7,0.2792897804283003
2012020053,2290,-2,0,4,115,7,5,40,136,27,40,0.5099425124870418
2012020053,2619,-1,0,23,154,29,35,98,98,68,68,0.6280557916312552
2012020053,3178,0,0,48,48,91,91,179,8,23,28,0.4877879209237651
2012020053,3558,1,0,204,0,2,8,125,0,0,0,0.03738317757009347
2012020054,1213,0,1,20,15,3,5,163,53,45,34,0.3393772171856524
2012020054,1255,1,0,161,47,40,36,63,11,5,4,0.1444934668250467
2012020054,1369,2,-2,0,1,0,0,6,10,4,3,1
2012020054,1589,1,0,53,150,39,44,134,134,59,59,0.3556469437298453
2012020054,1976,0,0,102,102,53,53,137,43,48,36,0.3669110459433041
2012020054,2244,1,1,19,3,11,7,126,5,12,7,0.21166666666666675
2012020054,2658,2,0,143,0,7,9,79,0,4,0,0.056603773584905634
2012020054,3018,3,0,0,87,0,1,1,139,5,2,0.08387445887445887
2012020055,266,0,0,371,371,110,110,108,37,22,23,0.375128569865412
2012020055,898,-1,0,152,48,33,29,62,11,5,5,0.15179803182194435
2012020055,1270,-2,0,9,60,4,6,50,171,36,44,0.3125446822826864
2012020055,2015,-1,1,8,23,4,4,95,95,62,62,0.47950351135064506
2012020055,2274,0,0,91,91,57,57,135,39,35,30,0.35554958724414787
2012020055,3532,1,0,212,0,7,13,119,0,0,0,0.056034482758620635
2012020056,553,0,-2,2,1,0,0,7,2,4,1,0.30952380952380953
2012020056,1120,-1,-1,25,3,3,5,67,12,6,6,-0.02411477411477407
2012020056,2197,-2,0,115,5,7,8,64,0,1,0,0.1333333333333334
2012020056,2478,-3,-1,8,0,0,0,35,0,0,0,0
2012020056,3301,-4,0,40,0,0,0,14,0,0,0,0
2012020057,969,0,1,19,20,10,8,12,4,10,4,0.44210526315789456
2012020057,1047,1,1,23,6,5,3,63,9,7,7,0.11470773098680068
2012020057,1352,2,1,8,0,0,0,27,1,1,1,-0.09999999999999998
2012020057,2225,3,0,62,0,1,0,24,0,1,0,0
2012020058,385,0,0,321,321,101,101,137,45,20,32,0.3589642321869809
2012020058,1035,-1,-1,24,7,7,3,63,9,7,6,0.13228120516499275
2012020058,1543,-2,0,11,86,5,4,53,161,42,43,0.4396415725373888
2012020058,2856,-1,0,16,153,37,33,86,86,74,74,0.6496600418410042
2012020058,3177,0,0,48,48,91,91,177,8,23,28,0.48622119253749535
2012020058,3428,1,0,196,3,17,18,142,0,2,1,0.09566755083996463
2012020058,3525,2,0,117,0,0,0,98,0,0,0,0
2012020059,455,0,0,282,282,96,96,148,45,26,32,0.38696009612344284
2012020059,1074,1,0,55,166,9,40,175,175,74,74,0.5263721552878179
2012020059,1730,0,0,124,124,54,54,158,49,48,32,0.3953529342677054
2012020059,2795,-1,0,162,19,31,34,135,0,4,5,0.2579607046070461
2012020059,3461,-2,0,0,135,1,2,1,206,15,13,0.16250385445575086
2012020060,190,0,-2,4,0,0,0,11,4,0,1,-0.5625
2012020060,432,-1,0,143,42,22,31,22,5,3,1,0.12835456763350495
2012020060,1131,-2,0,63,13,7,5,23,0,0,1,0.3106060606060608
2012020060,2314,-3,0,63,0,1,0,30,0,1,0,0
2012020060,2350,-4,0,0,25,0,0,0,69,0,1,0.014285714285714285
2012020060,2387,-3,0,77,0,1,0,27,0,0,0,0
2012020060,2454,-4,-1,2,0,0,0,5,0,0,0,0
2012020060,2880,-5,0,5,0,0,0,5,0,0,0,0
2012020061,331,0,0,345,345,114,114,126,40,23,28,0.3781211409294901
2012020061,357,-1,0,40,123,28,22,347,347,104,104,0.3735152972528445
2012020061,760,0,1,27,31,5,4,154,56,26,33,0.4460411696166011
2012020061,1851,1,0,45,141,30,46,128,128,54,54,0.4002600452982133
2012020061,2192,0,0,96,96,60,60,140,42,37,34,0.34128914563697166
2012020061,2384,-1,0,130,39,43,30,113,3,7,6,0.35325773592158377
2012020061,2544,-2,0,1,140,7,4,38,148,39,37,0.5974286862193652
2012020062,1264,0,0,174,174,67,67,172,49,42,36,0.4128353155053497
2012020062,1437,-1,2,0,1,0,0,26,12,5,8,1.3725490196078431
2012020062,1508,0,0,141,141,56,56,165,50,43,42,0.3845346869712353
2012020062,1893,-1,0,135,40,47,31,110,5,6,10,0.28606342214042196
2012020062,2422,-2,0,3,107,5,4,34,146,35,45,0.5357789269553976
2012020062,2915,-1,0,162,11,33,34,134,2,1,3,0.18333333333333338
2012020063,316,0,0,355,355,113,113,118,43,22,25,0.3456196581196582
2012020063,865,1,0,148,53,32,13,57,9,6,5,0.1850385386970754
2012020063,1159,2,-1,1,13,2,0,50,161,33,39,0.34938162544169604
2012020063,1439,1,0,167,42,45,38,80,5,1,5,0.2529730543429172
2012020063,1727,2,-1,1,12,1,1,48,153,32,47,0.4059523809523809
2012020063,2097,1,1,13,8,10,7,119,9,9,4,0.4492347891004106
2012020063,3598,2,0,0,141,0,0,0,157,0,0,0
2012020064,112,0,0,474,474,151,151,57,19,8,13,0.35342680412371125
2012020064,2367,-1,0,36,129,30,45,96,96,52,52,0.4381756756756756
2012020064,3009,0,0,59,59,88,88,165,11,31,32,0.47473884951470136
2012020064,3072,-1,0,10,171,15,27,53,53,95,95,0.9756544661253181
2012020065,574,0,0,254,254,84,84,155,55,31,15,0.38745839497041423
2012020065,962,-1,0,49,165,30,30,209,209,70,70,0.4393166418125213
2012020065,1398,0,0,157,157,56,56,167,47,43,39,0.41922027661464273
2012020065,2711,1,1,13,2,4,6,144,0,7,7,0.35569620253164547
2012020065,3013,2,0,1,135,5,3,11,167,31,31,0.375
2012020066,811,0,0,212,212,79,79,150,59,28,35,0.30176116838487976
2012020066,2024,-1,0,36,138,26,44,99,99,62,62,0.5040219936869972
2012020067,145,0,0,437,437,145,145,69,22,11,7,0.40753964500772416
2012020067,815,1,0,144,53,24,34,54,5,9,5,0.34354015578834274
2012020067,1406,2,0,10,80,4,7,46,166,40,44,0.3831950762643831
2012020067,2520,1,0,145,40,38,38,144,1,9,3,0.42026014593552474
