Rank_trad,Rank_w,Rank_diff,PlayerId,PlayerName,Position,PlusMinus,PlusMinus_w
24,120,-96,8458590,"Mike Knuble",R,20,3.323
211,121,90,8467407,"Brian Gionta",R,3,3.295
212,122,90,8468508,"Justin Williams",R,3,3.292
179,123,56,8469500,"Mike Cammalleri",L,4,3.28
118,124,-6,8469466,"Ales Hemsky",R,7,3.278
75,125,-50,8470299,"Erik Christensen",C,11,3.27
706,126,580,8459426,"Paul Kariya",L,-8,3.252
621,127,494,8459596,"Andrew Brunette",L,-5,3.028
119,128,-9,8460621,"Daniel Alfredsson",R,7,3.026
154,129,25,8462535,"Jody Shelley",L,5,2.986
248,130,118,8474568,"Luke Schenn",D,2,2.978
213,131,82,8470207,"Joffrey Lupul",L,3,2.973
622,132,490,8468486,"Scott Hartnell",L,-5,2.963
840,133,707,8467899,"Martin Havlat",L,-20,2.868
36,134,-98,8470966,"Mark Giordano",D,18,2.857
180,135,45,8467336,"Mike Rupp",L,4,2.851
155,136,19,8470105,"Scottie Upshall",L,5,2.813
249,137,112,8460719,"Steve Sullivan",L,2,2.796
461,138,323,8470596,"Nathan Horton",R,-2,2.787
181,139,42,8470121,"Matt Greene",D,4,2.742
21,140,-119,8471233,"Travis Zajac",C,21,2.741
58,141,-83,8467365,"John Erskine",D,13,2.694
120,142,-22,8460500,"Nolan Baumgartner",D,7,2.678
182,143,39,8470600,"Ryan Suter",D,4,2.668
156,144,12,8451224,"Mathieu Schneider",D,5,2.649
157,145,12,8470666,"Daniel Carcillo",L,5,2.617
183,146,37,8470794,"Joe Pavelski",C,4,2.615
93,147,-54,8465005,"Colin White",D,9,2.607
94,148,-54,8469473,"Marcel Goc",C,9,2.606
59,149,-90,8464979,"Marco Sturm",L,13,2.574
95,150,-55,8471283,"Brandon Prust",L,9,2.562
96,151,-55,8470187,"Johnny Boychuk",D,9,2.519
132,152,-20,8464981,"Cory Sarich",D,6,2.485
214,153,61,8470755,"Brad Richardson",R,3,2.465
339,154,185,8470741,"Nigel Dawes",L,0,2.461
654,155,499,8473548,"Phil Kessel",R,-6,2.452
184,156,28,8470543,"Chris Kunitz",L,4,2.424
